Category,Variable,Description,Code,Decode,Derived Variable,Original Variable(s),Original Dataset(s),Derivation Notes,
Demographics,race,Race,1,White,Yes,"RAASIAN, RABLACK, RAHAWOPI, RAINDALS, RANOS, RAWHITE, RAUNKNOWN",SCREEN,"If RAINDALS, RAHAWOPI, RANOS, or more than one race is selected, then Race = Other.  Otherwise value is set according to which one of RAWHITE, RABLACK, or RAASIAN is selected.",
,,,2,Black,,,,,
,,,3,Asian,,,,,
,,,4,Other (includes multi-racial),,,,,
,,,.,Unknown/Not reported,,,,,
Demographics,SEX,Sex at birth,1,Male,No,SEX,SCREEN,,
,,,0,Female,,,,,
Demographics,sex_orient,Sexual Orientation,1,Gay/Lesbian,Yes,"GAYLES, HETERO, BISEXUAL, PANSEXUAL, ASEXUAL, OTHSEXUALITY",SCREEN,"If multiple categories are selected or OTHSEXUAL = 1, then Sexual Orientation = Other.  Otherwise value is set according to which one of GAYLES, HETERO, BISEXUAL, PANSEXUAL, or ASEXUAL is selected.",
,,,2,Heterosexual,,,,,
,,,3,Bisexual,,,,,
,,,4,Pansexual,,,,,
,,,5,Asexual,,,,,
,,,9,Other (includes multiple),,,,,
,,,.,Unknown/Not reported,,,,,
Genetics,APOE,APOE genotype,-,-,No,APOE,iu_genetic_consensus,,
Genetics,APOE_e4,Number of E4 alleles in APOE genotype,-,-,Yes,APOE,iu_genetic_consensus,"Derived from APOE to indicate the number of E4 alleles.  Possible values are: 0, 1, and 2.  For example, if APOE = E2/E3, then APOE_e4 = 0; if APOE = E2/E4, then APOE_e4 = 1, etc.",
Biologics,abeta,CSF A-beta 1-42 (combined 2016/2021 assays),-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,"1. Filter on PROJECTID = “159” and TESTNAME = “ABeta” and take the variable TESTVALUE.
2. Filter on PROJECTID = “125” and TESTNAME = “ABeta 1-42” and take the variable TESTVALUE.
3. Discard values < 200 or >= 1475.4 as these are considered to be outside the limit of detection.
4. If both projects have a valid value, take the mean of the two values; otherwise if one project has a valid value, use that.
5. If neither project supplies a valid value, set to NULL.",
Biologics,abeta_LLOD,Indicates whether CSF A-beta 1-42 test result was below the LOWER limit of detection (< 200 pg/mL),0,No,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,See abeta derivation - set to 1 if no test value was available because one or both test results were below the lower limit of detection,
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Biologics,abeta_ULOD,Indicates whether CSF A-beta 1-42 test result was equal to or above the UPPER limit of detection (>= 1475.4 pg/mL),0,No,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,See abeta derivation - set to 1 if no test value was available because one or both test results were above the upper limit of detection,
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Biologics,asyn,CSF alpha-synuclein (2016 assay),-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE, RUNDATE",Current_Biospecimen_ Analysis_Results,"Filter on PROJECTID = “124” and TESTNAME = “CSF Alpha-synuclein” and take the variable TESTVALUE.  In cases where multiple results are available for the same visit, use the result with the most recent RUNDATE.",
Biologics,bd_tau_plasma,BD tTau (plasma) from Biospecimen Project ID 208,-,,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “208” and TESTNAME = “BD tTau” and take the variable TESTVALUE.  ,
Biologics,ptau,CSF p-tau (combined 2016/2021 assays),-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,"1. FIlter on PROJECTID = “159” and TESTNAME = “pTau” and take the variable TESTVALUE.
2. Filter on PROJECTID = “125” and TESTNAME = “pTau” and take the variable TESTVALUE.
3. Discard values <= 8 as these are considered to be outside the limit of detection.
4. If both projects have a valid value, take the mean of the two values; otherwise if one project has a valid value, use that.
5. If neither project supplies a valid value, set to NULL.",
Biologics,ptau_LLOD,Indicates whether CSF p-tau test result was equal to or below the LOWER limit of detection (<= 8 pg/mL),0,No,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,See ptau derivation - set to 1 if no test value was available because one or both test results were below the lower limit of detection,
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Biologics,ptau217_plasma,p217 + Tau (plasma) from Biospecimen Project ID 208,-,,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “208” and TESTNAME = “p217+tau” and take the variable TESTVALUE.  ,
Biologics,tau,CSF t-tau (combined 2016/2021 assays),-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,"1. FIlter on PROJECTID = “159” and TESTNAME = “tTau” and take the variable TESTVALUE.
2. Filter on PROJECTID = “125” and TESTNAME = “tTau” and take the variable TESTVALUE.
3. Discard values <= 80 as these are considered to be outside the limit of detection.
4. If both projects have a valid value, take the mean of the two values; otherwise if one project has a valid value, use that.
5. If neither project supplies a valid value, set to NULL.",
Biologics,tau_LLOD,Indicates whether CSF t-tau test result was equal to or below the LOWER limit of detection (<= 80 pg/mL),0,No,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,See tau derivation - set to 1 if no test value was available because one or both test results were below the lower limit of detection,
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Biologics,urate,Serum Uric Acid (mg/dL),-,-,Yes,"LTSTNAME, LUSRES",COVANCE,Filter on LTSTNAME = “Serum Uric Acid” and take the variable LUSRES. ,
Biologics,hemohi,Indicator of high CSF hemoglobin (2016 assay),0,<200 ,Yes,"PROJECTID, TESTNAME, TESTVALUE, RUNDATE",Current_Biospecimen_ Analysis_Results,"Filter on PROJECTID = “134” and TESTNAME = “CSF Hemoglobin” and take the variable TESTVALUE. If the result is below the limit of detection, set hemohi to 0 (<200). If the result is above the limit of detection, set hemohi to 1 (>=200). In cases where multiple results are available for the same visit, use the result with the most recent RUNDATE.",
,,,1,>=200 ,,,,,
,,,.,Unknown,,,,,
Biologics,total_di_18_1_BMP,Urine BMP Total di‐18:1 Species,-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “145” and TESTNAME = “total di-18:1-BMP” and take the variable TESTVALUE. ,
Biologics,total_di_22_6_BMP,Urine BMP Total di‐22:6 Species,-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “145” and TESTNAME = “total di-22:6-BMP” and take the variable TESTVALUE. ,
Biologics,_2_2__di_22_6_BMP,"Urine BMP 2,2' di-22:6 Species",-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,"Filter on PROJECTID = “145” and TESTNAME = “2,2' di-22:6-BMP” and take the variable TESTVALUE. ",
Biologics,CSFSAA,"CSF SAA combined results, prioritizing 24hr assay (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut)",0,Negative,Yes,"SAA_Status, SAA_Type, RUNDATE",SAA_Biospecimen_ Analysis_Results,"In cases where multiple results are available for the same visit, use the result with the most recent RUNDATE.",
,,,1,Positive LBD-like,,,,,
,,,2,Inconclusive,,,,,
,,,3,Positive MSA-like,,,,,
,,,.,Unknown,,,,,
Biologics,CSFSAA_assay,Indicates which assay was used to run the reported CSF SAA result,1,150-hour Pilot assay (Project 155),Yes,"SAAMethod, RUNDATE",SAA_Biospecimen_ Analysis_Results,"In cases where multiple results are available for the same visit, use the most recent RUNDATE.",
,,,2,24-hour assay (Project 237),,,,,
,,,3,35-hour assay (Project 299),,,,,
Biologics,nfl_csf,CSF Neurofilament Light,-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “152” and TESTNAME = “NFL” and take the variable TESTVALUE. ,
Biologics,nfl_serum,Serum Neurofilament Light,-,-,Yes,"PROJECTID, TESTNAME, TESTVALUE",Current_Biospecimen_ Analysis_Results,Filter on PROJECTID = “144” and TESTNAME = “NfL” and take the variable TESTVALUE. ,
DATSCAN,mia_lowput_expected,"DATSCAN age-/sex-expected lowest putamen ratio, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,Yes,"putamen_r_ref_cwm, putamen_l_ref_cwm",Xing_Core_Lab_-_Quant_SBR,"Min (putamen_r_ref_cwm, putamen_l_ref_cwm) / (1.4474 - 0.003780*age at DATSCAN + 0.2093*gender), where gender is coded as 1 = Male, 2 = Female.",
DATSCAN,MIA_CAUDATE_L,"Left caudate, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,caudate_l_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_CAUDATE_R,"Right caudate, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,caudate_r_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_CAUDATE_MEAN,"Mean caudate, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,caudate_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_PUTAMEN_L,"Left putamen, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,putamen_l_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_PUTAMEN_R,"Right putamen, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,putamen_r_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_PUTAMEN_MEAN,"Mean putamen, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,putamen_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_STRIATUM_L,"Left striatum, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,striatum_l_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_STRIATUM_R,"Right striatum, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,striatum_r_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
DATSCAN,MIA_STRIATUM_MEAN,"Mean striatum, MIAKAT pipeline with cerebral white matter reference region (Note: Results not shown for Prodromal cohort in Public Data Cut)",-,-,No,striatum_ref_cwm,Xing_Core_Lab_-_Quant_SBR,,
Clinical,agediag,Age at PD Diagnosis,-,-,Yes,"BIRTHDT, PDDXDT","SCREEN, PDDXHIST",PDDXDT - BIRTHDT,
Clinical,ageonset,Age at PD Symptom Onset,-,-,Yes,"BIRTHDT, SXMO, SXYEAR","SCREEN, PDDXHIST","Symptom Onset Date - BIRTHDT
Impute ""15"" as the day for Symptom Onset Date, and use SXYEAR for the year and SXMO for the month.  If SXMO is missing, then impute June as the month.",
Clinical,age_LP,Age at Lumbar Puncture,-,-,Yes,"BIRTHDT, CSFDT","SCREEN, LUMBAR",CSFDT - BIRTHDT,
Clinical,age_DATSCAN,Age at Datscan,-,-,Yes,"BIRTHDT, DATSCAN_DATE","SCREEN, Datscan_SBR_Analysis",DATSCAN_DATE - BIRTHDT,
Clinical,age_upsit,Age at UPSIT,-,-,Yes,"BIRTHDT, INFODT","SCREEN, UPSIT",INFODT - BIRTHDT,
Clinical,bjlot,Benton Judgement of Line Orientation Score,-,-,Yes,BJLOT1 - BJLOT30,LINEORNT,Sum (BJLOT1 - BJLOT30),
Clinical,BMI,Body Mass Index,-,-,Yes,"HTCM, WGTKG",VITAL,WGTKG / (HTCM/100)^2,
Clinical,clockdraw,Total Clock Drawing Score,-,-,Yes,"CLCKPII, CLCK2HND, CLCKNMRK, CLCKNUIN, CLCKALNU, CLCKNUSP, CLCKNUED",CLCKDRAW,"Sum (CLCKPII, CLCK2HND, CLCKNMRK, CLCKNUIN, CLCKALNU, CLCKNUSP, CLCKNUED)",
Clinical,cogstate,Investigator Diagnosis of Cognitive State,1,Normal Cognition,No,COGSTATE,COGCATG,,
,,,2,Mild Cognitive Impairment ,,,,,
,,,3,Dementia,,,,,
,,,.,Unknown,,,,,
Clinical,DOMSIDE,Side most affected at PD symptom onset,1,Left,No,DOMSIDE,PDDXHIST,,
,,,2,Right,,,,,
,,,3,Symmetric,,,,,
,,,.,Unknown,,,,,
Clinical,duration,Duration from PD Diagnosis to Enrollment (Months),-,-,Yes,"PDDXDT, ENROLL_DATE","PDDXHIST, STATUS",(ENROLL_DATE - PDDXDT) * 12,
Clinical,duration_yrs,Duration from PD Diagnosis to Enrollment (Years),-,-,Yes,"PDDXDT, ENROLL_DATE","PDDXHIST, STATUS",ENROLL_DATE - PDDXDT,
Clinical,DVT_CLCKDRAW,Clock Drawing Test t-score (age-corrected),-,-,Yes,"CLCKPII, CLCK2HND, CLCKNMRK, CLCKNUIN, CLCKALNU, CLCKNUSP, CLCKNUED",CLCKDRAW,"Reference for norms:  Hubbard et al., 2008, Appendix B Freund system Command condition (source: Freund et al., 2005)",
Clinical,DVZ_CLCKDRAW,Clock Drawing Test Z-score (age-corrected),-,-,Yes,,,,
Clinical,DVT_TOTAL_RECALL,HVLT Immediate/Total Recall t-score,-,-,Yes,"HVLTRT1, HVLTRT2, HVLTRT3",HVLT,"Reference for norms:  Hopkins Verbal Learning Test-Revised Professional Manual, Tables A1-A14",
Clinical,DVT_DELAYED_RECALL,HVLT Delayed Recall t-score,-,-,Yes,HVLTRDLY,,,
Clinical,DVT_RETENTION ,HVLT Retention t-score,-,-,Yes,"HVLTRDLY, HVLTRT2, HVLTRT3",,,
Clinical,DVT_RECOG_DISC_INDEX,HVLT Discrimination Recognition Index t-score ,-,-,Yes,"HVLTREC, HVLTFPRL, HVLTFPUN",,,
Clinical,DVS_FAS ,Lexical Fluency letter (FAS) Scaled Score,-,-,Yes,"LXFLUEA, LXFLUEF, LXFLUES",LEXICAL,"Reference for norms:  Gladsjo et al., 1999, Table 4 ",
Clinical,DVT_FAS,Lexical Fluency letter (FAS) t-score (age- and education-corrected),-,-,Yes,"EDUCYRS, LXFLUEA, LXFLUEF, LXFLUES",LEXICAL,"Reference for norms:  adapted from Gladsjo et al., 1999, Table 4 and Appendix B. Appendix B t-score calculation is modified as follows:
DVT_FAS = 14.796 + (3.584 * DVS_FAS) - (0.914 * EDUCYRS) + (0.177 * age); where
- EDUCYRS is capped at 20
- If age at assessment is <34, use age=34; otherwise, use actual age at assessment",
Clinical,DVS_JLO_MSSA ,Benton Judgment of Line Orientation MOANS Scaled Score (age-corrected),-,-,Yes,BJLOT1 - BJLOT30,LINEORNT,"Reference for norms:  adapted from Ivnik et al., 1996, Tables 3-13. 
Table 3 starts at age group 56-62, so it has been modified to age group 20-62.",
Clinical,DVS_JLO_MSSAE,Benton Judgment of Line Orientation MOANS Scaled Score (age- and education-corrected),-,-,Yes,"EDUCYRS, BJLOT1 - BJLOT31",LINEORNT,"Reference for norms:  adapted from Ivnik et al., 1996, Table 14.
DVS_JLO_MSSAE = 1.54 + (1.10 * DVS_JLO_MSSA) - (0.23 * EDUCYRS); where 
- DVS_JLO_MSSA is derived as above
- EDUCYRS is capped at 20",
Clinical,DVS_LNS,Letter Number Sequencing Scaled Score (age-corrected),-,-,Yes,LNS1A - LNS7C,LNSPD,Reference for norms:  WAIS-III Manual Table A.1 (L-N Sequence and Scaled Score columns),
Clinical,DVS_BNT ,Boston Naming Test Scaled Score (age- and education-corrected),-,-,Yes,"MBSTNCRR, EDUCYRS",MODBSTN,"Reference for norms:  Zec et al., 2007, Tables 10 & 12",
Clinical,PCTL_BNT,Boston Naming Test Percentile (age- and education-corrected),-,-,Yes,"MBSTNCRR, EDUCYRS",,,
Clinical,DVSD_SDM ,Symbol Digit Modalities Test normed SD (age- and education-corrected),-,-,Yes,"SDMTOTAL, EDUCYRS",SDM,"Reference for norms:  SDMT Manual Table 3.
- For scores that fall below the low value listed in Table 3, the SD values are defaulted to -3.000.
- For scores that fall above the high value listed in Table 3, the SD values are defaulted to +3.000.",
Clinical,DVT_SDM,Symbol Digit Modalities Test t-score (age- and education-corrected),-,-,Yes,"SDMTOTAL, EDUCYRS",SDM,"DVT_SDM = 10*SD + 50, where SD is derived as above.",
Clinical,DVS_SFTANIM,Semantic Fluency (Animal) Scaled Score,-,-,Yes,VLTANIM,SFT,"Reference for norms:  Gladsjo et al., 1999, Table 4 ",
Clinical,DVT_SFTANIM,Semantic Fluency (Animal) t-score (age- and education-corrected),-,-,Yes,"VLTANIM, EDUCYRS",SFT,"Reference for norms:  adapted from Gladsjo et al., 1999, Table 4 and Appendix B. Appendix B t-score calculation is modified as follows:
DVT_SFTANIM = 10.45 + (3.558 * DVS_SFTANIM) - (1.048 * EDUCYRS) + (0.301 * age); where 
- EDUCYRS is capped at 20
- If age at assessment is <34, use age=34; otherwise, use actual age at assessment",
Clinical,DVZ_TMTA ,Trail Making Test A reversed Z-score (age- and education-corrected),-,-,Yes,"TMTASEC, TMTACMPL",TMT,"Reference for norms:  Tombaugh et al., 2004, Table 2.
1) Use Tombaugh et al., 2004, Table 2 to find the normed mean/SD for the corresponding TMT raw score.
2) Calculate Z-score = (TMT raw score – normed mean) / normed SD",
Clinical,DVZ_TMTB,Trail Making Test B reversed Z-score (age- and education-corrected),-,-,Yes,"TMTBSEC, TMTBCMPL",TMT,,
Clinical,ess,Epworth Sleepiness Scale Score,-,-,Yes,ESS1 - ESS8,EPWORTH,"Sum (ESS1 - ESS8)
Note: participants with a score > 9 show evidence of excessive daytime sleepiness.",
Clinical,gds,Geriatric Depression Scale Score,-,-,Yes,"GDSSATIS, GDSGSPIR, GDSHAPPY, GDSALIVE, GDSENRGY, GDSDROPD, GDSEMPTY, GDSBORED,  GDSAFRAD, GDSHLPLS, GDSHOME, GDSMEMRY, GDSWRTLS, GDSHOPLS,  GDSBETER",GDSSHORT,"Add 1 point for each response of “No” (0) to any of the following variables:  GDSSATIS, GDSGSPIR, GDSHAPPY, GDSALIVE, GDSENRGY.
Add 1 point for each response of “Yes” (1) to any of the following variables:  GDSDROPD, GDSEMPTY, GDSBORED, GDSAFRAD, GDSHLPLS, GDSHOME, GDSMEMRY, GDSWRTLS, GDSHOPLS, GDSBETER.
Note: participants with a score >= 5 show evidence of depression.",
Clinical,hvlt_discrimination,HVLT Discrimination Recognition Index,-,-,Yes,"HVLTREC, HVLTFPRL, HVLTFPUN",HVLT,HVLTREC - (HVLTFPRL + HVLTFPUN),
Clinical,hvlt_immediaterecall,HVLT Immediate/Total Recall,-,-,Yes,HVLTRT1- HVLTRT3,HVLT,Sum (HVLTRT1 - HVLTRT3),
Clinical,hvlt_retention,HVLT Retention,,-,Yes,"HVLTRDLY, HVLTRT2, HVLTRT3",HVLT,"HVLTRDLY / max(HVLTRT2, HVLTRT3)",
Clinical,HVLTFPRL,HVLT False Alarms,-,-,No,HVLTFPRL,HVLT,,
Clinical,HVLTRDLY,HVLT Delayed Recall ,-,-,No,HVLTRDLY,HVLT,,
